Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Moniepoint,https://www.crunchbase.com/organization/moniepoint,"Oct 21, 2025","$323,058,694",Not Started,"Banking, Credit, Finance, Financial Services, FinTech, Payments","London, England, United Kingdom","Moniepoint is a financial technology company that renders payments, credit, business management, and banking services for businesses.",482,https://www.moniepoint.com/,$100M to $500M,"QED Investors, International Finance Corporation, Endeavor Catalyst, Lightrock, Novastar Ventures","British International Investment, Development Partners International, LeapFrog Investments, Novastar Ventures, QED Investors, Quantum Capital Partners, Visa",https://x.com/moniepoint,https://www.linkedin.com/company/moniepoint-inc,1001-5000,"$90,000,000",Jun 2015
Anrok,https://www.crunchbase.com/organization/anrok,"Oct 21, 2025","$109,300,000",Not Started,"Compliance, Financial Services, SaaS, Software, Tax Preparation","San Francisco, California, United States",Anrok is a global sales tax solution platform that automates sales tax compliance for modern commerce.,531,https://anrok.com/,$1M to $10M,"Sequoia Capital, Sapphire Ventures, Khosla Ventures, Index Ventures, Intuit","Index Ventures, Khosla Ventures, Sequoia Capital, Spark Capital",https://x.com/Anrok,https://www.linkedin.com/company/anrok,101-250,"$55,000,000",2020
Disc Medicine,https://www.crunchbase.com/organization/disc-medicine,"Oct 21, 2025","$1,293,800,000",Not Started,"Biotechnology, Health Care, Medical, Pharmaceutical, Therapeutics","Watertown, Massachusetts, United States",Disc Medicine is a biopharmaceutical company that develops therapies for hematologic diseases and rare blood disorders.,"1,115",https://www.discmedicine.com/,—,"Wellington Management, Janus Henderson Investors, TCG Crossover, 5AM Ventures, Frazier Life Sciences","Access Biotechnology, Bain Capital Life Sciences, Frazier Life Sciences, Hercules Capital, Logos Capital, Novo Holdings, OrbiMed",https://x.com/discmedicine,https://www.linkedin.com/company/disc-medicine,101-250,"$225,000,000",2017
Electra,https://www.crunchbase.com/organization/electrasteel,"Oct 21, 2025","$349,505,996",Not Started,"Industrial, Industrial Manufacturing, Manufacturing, Precious Metals, Renewable Energy","Boulder, Colorado, United States","Electra is a a clean iron company that uses a low-temperature, electrochemical-hydrometallurgical system to refine iron ore.","1,223",https://www.electra.earth/,—,"Valor Equity Partners, Temasek Holdings, Lowercarbon Capital, S2G Investments, Collaborative Fund","BloombergNEF, Breakthrough Energy Catalyst, Breakthrough Energy Ventures, Capricorn Investment Group, National Science Foundation, Nucor Corporation, Temasek Holdings",,https://www.linkedin.com/company/electra-earth,101-250,"$50,000,000",2020
Findem,https://www.crunchbase.com/organization/findem,"Oct 21, 2025","$88,300,000",Not Started,"Analytics, Artificial Intelligence (AI), Human Resources, Recruiting, SaaS","Redwood City, California, United States",Findem is a talent-acquisition technology firm that offers an AI-driven platform to for companies to identify and engage with candidates.,"1,334",https://www.findem.ai/,$1M to $10M,"Wing Venture Capital, JP Morgan, Corner Ventures, Quarry, Four Rivers Group","Four Rivers Group, JP Morgan, Quarry, SLW, Wing Venture Capital",,https://www.linkedin.com/company/findeminc,101-250,"$36,000,000",2019
Sesame,https://www.crunchbase.com/organization/sesame-ai,"Oct 21, 2025","$307,624,975",Not Started,"Artificial Intelligence (AI), Consumer Electronics, Consumer Software, Software","San Francisco, California, United States",Sesame is a voice tech startup focused on developing AI voice assistants that create natural and emotionally resonant conversations.,"1,698",http://www.sesame.com/,—,"Andreessen Horowitz, Sequoia Capital, SV Angel, Redpoint, Matrix","Andreessen Horowitz, Sequoia Capital, Spark Capital",http://www.x.com/sesame,https://www.linkedin.com/company/sesameai,11-50,"$250,000,000",Dec 2022
Moonshot AI,https://www.crunchbase.com/organization/moonshot-ai,"Oct 21, 2025","$13,000,000",Not Started,"Artificial Intelligence (AI), E-Commerce, Generative AI, Software","New York, New York, United States",Moonshot AI is a No-code solution that optimizes e-Commerce stores automatically.,"2,445",https://www.moonshot-ai.com/,—,"Garuda Ventures, Mighty Capital, Oceans, Almaz Capital, Uncorrelated Ventures","Almaz Capital, Garuda Ventures, Mighty Capital",,https://www.linkedin.com/company/moon-shot-ai,1-10,"$10,000,000",2023
N3XT,https://www.crunchbase.com/organization/n3xt-5efa,"Oct 21, 2025","$118,784,403",Not Started,"Decentralized Finance (DeFi), Financial Services, FinTech","Charlotte, North Carolina, United States",n3xt is a technology company that offers financial services.,"2,873",https://n3xt.io/,—,"Alumni Ventures, Insight Partners, Y Combinator, Intrepid Growth Partners","Alumni Ventures, Intrepid Growth Partners",,https://www.linkedin.com/company/n3xtio/,11-50,"$72,000,000",2023
Keycard,https://www.crunchbase.com/organization/keycard,"Oct 21, 2025","$38,000,000",Not Started,—,"Wilmington, Delaware, United States",Keycard is working to redefine machine identity for the Internet.,"2,917",https://www.keycard.sh/,—,"Andreessen Horowitz, MANTIS Venture Capital, Acrew Capital, boldstart ventures, Tapestry","Acrew Capital, Andreessen Horowitz, boldstart ventures",,https://www.linkedin.com/company/keycard-labs,1-10,"$30,000,000",2025
TempraMed,https://www.crunchbase.com/organization/tempramed,"Oct 21, 2025","CA$9,924,836",Not Started,"Health Care, Medical, Medical Device","Sammamish, Washington, United States",TempraMed provides last-mile control and management solutions to protect patients from temperature-sensitive medications.,"3,545",https://tempramed.com/,Less than $1M,—,—,,https://www.linkedin.com/company/tempramed/,1-10,"CA$2,524,836",2014
