Organization Name,Crunchbase Profile Link,Last Funding Date,Total Funding Amount,Stage Track Stages,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter URL,LinkedIn URL,Number of Employees,Last Funding Amount,Founded Date
Qevlar AI,https://www.crunchbase.com/organization/qevlar-ai,"Mar 10, 2026","$44,884,540",Not Started,"Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security, SaaS","Paris, Ile-de-France, France",Qevlar AI is an AI SOC platform that surfaces real signals from alert noise.,"5,988",https://www.qevlar.com/,$1M to $10M,"EQT Ventures, Forgepoint Capital, Partech, Olivier Pomel, Mehdi Ghissassi","EQT Ventures, Forgepoint Capital, Forgepoint Capital International, Partech",,https://www.linkedin.com/company/qevlar,51-100,"$30,000,000",May 2023
Voomi Supply,https://www.crunchbase.com/organization/voomi-supply,"Mar 6, 2026","$11,000,000",Not Started,"E-Commerce, Electronics, Heating, Ventilation, and Air Conditioning (HVAC), Home Improvement","Dresher, Pennsylvania, United States","Voomi Supply is an online supplier of HVAC units, HVAC parts, plumbing, heating, and electrical equipment.","4,326",https://voomisupply.com/,$1M to $10M,"Asymmetric Capital Partners, Highmount Capital",Asymmetric Capital Partners,,https://www.linkedin.com/company/voomi-supply/,11-50,"$10,000,000",2019
Allarity Therapeutics,https://www.crunchbase.com/organization/allarity-therapeutics,"Mar 6, 2026","$38,500,000",Not Started,"Biotechnology, Health Care, Health Diagnostics, Oncology, Pharmaceutical","Boston, Massachusetts, United States",Allarity Therapeutics is a biopharma company developing oncology products and drugs for the personalized treatment of cancer.,"5,967",https://allarity.com/,—,Streeterville Capital,Streeterville Capital,https://x.com/AllarityTx,https://www.linkedin.com/company/allaritytx,1-10,"$20,000,000",2004
City Detect,https://www.crunchbase.com/organization/city-detect,"Mar 6, 2026","$15,000,000",Not Started,"Analytics, Information Technology, Software","Tuscaloosa, Alabama, United States",City Detect provides homes and housing analysis and information services for cities.,"6,376",https://citydetect.com/,$1M to $10M,"Zeal Capital Partners, Las Olas Venture Capital, Knoll Ventures, Prudence, Atlanta Seed Company","Las Olas Venture Capital, Prudence",,https://www.linkedin.com/company/citydetect/,1-10,"$13,000,000",2024
Shuttle Pharmaceuticals,https://www.crunchbase.com/organization/shuttle-pharmaceuticals,"Mar 6, 2026","$25,412,500",Not Started,"Biotechnology, Pharmaceutical, Therapeutics","Rockville, Maryland, United States",Shuttle Pharmaceuticals is a clinical-stage pharmaceutical company utilizing proprietary technology to develop novel therapies.,"12,350",https://www.shuttlepharma.com/,$1M to $10M,—,—,,https://www.linkedin.com/company/shuttle-pharma,11-50,"$3,500,000",2012
Cylake,https://www.crunchbase.com/organization/cylake,"Mar 6, 2026","$45,000,000",Not Started,"Artificial Intelligence (AI), Cyber Security","Sunnyvale, California, United States",Cylake is an AI-driven cybersecurity technology company developed to protect from cyberattacks.,"15,898",https://cylake.com/,—,Greylock,Greylock,https://x.com/CylakeAI,https://www.linkedin.com/company/cylake-ai,11-50,"$45,000,000",2026
Kavango Resources,https://www.crunchbase.com/organization/kavango-resources,"Mar 6, 2026","$15,173,921",Not Started,Mineral,"London, England, United Kingdom","Kavango Resources is a mineral exploration company focusing on prospective copper, nickel, and PGE metals.","156,302",https://www.kavangoresources.com/,Less than $1M,"Peter Wynter Bee, Comarton Consultant",Comarton Consultant,,https://www.linkedin.com/company/kavango-resources-plc,101-250,"$8,400,000","Jan 1, 2017"
Sage,https://www.crunchbase.com/organization/sage-58f2,"Mar 5, 2026","$124,000,000",Not Started,"Elder Care, Medical, Nursing and Residential Care, Software","New York, New York, United States",Sage is an operation management system used by senior living communities to manage resident care and facility operations.,15,https://www.sagehealth.com/,—,"IVP, Maveron, Friends & Family Capital, Goldcrest Capital, Goldman Sachs Alternatives","Goldcrest Capital, Goldman Sachs Alternatives, IVP, Maveron",https://x.com/hellosageNYC,https://www.linkedin.com/company/hellosage,11-50,"$65,000,000",2020
Vast,https://www.crunchbase.com/organization/vast-6b79,"Mar 5, 2026","$650,000,000",Not Started,"Hardware, Manufacturing, Space Travel","Long Beach, California, United States",Vast develops space habitation systems and orbital infrastructure designed to support human activities in space.,50,https://www.vastspace.com/,$1M to $10M,"Qatar Investment Authority, Space Capital, Stellar Ventures, Nikon, Outliers Fund","Balerion Space Ventures, IQT",https://x.com/vast,https://www.linkedin.com/company/vastspace,501-1000,"$300,000,000",2021
Nominal,https://www.crunchbase.com/organization/nominal-3771,"Mar 5, 2026","$182,500,000",Not Started,"Analytics, Information Technology, SaaS, Software","Austin, Texas, United States","Nominal develops software platforms that support hardware engineering teams with testing, monitoring, and analysis of operational data.",96,https://www.nominal.io/,—,"Red Glass Ventures, General Catalyst, Sequoia Capital, Lightspeed Venture Partners, BoxGroup","Founders Fund, General Catalyst, Lux Capital, Sequoia Capital",https://x.com/Nominal_io,https://www.linkedin.com/company/nominal-inc,101-250,"$80,000,000",2022
