Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Strava,https://www.crunchbase.com/organization/strava,"May 22, 2025","$151,850,000",Not Started,"Apps, Fitness, Internet, Mobile, Social Network, Sports","San Francisco, California, United States","Strava is a social fitness app that tracks running, cycling, and workouts, connecting athletes.",400,http://www.strava.com/,Less than $1M,"Sequoia Capital, TCV, Dragoneer Investment Group, Jackson Square Ventures, Employee Stock Option Fund","Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital, Sigma Partners, TCV",https://x.com/strava,https://www.linkedin.com/company/strava-inc.,251-500,—,2009
OpenFX,https://www.crunchbase.com/organization/openfx,"May 22, 2025","$23,000,000",Not Started,"Embedded Software, Embedded Systems, Finance, Financial Exchanges, Financial Services, Foreign Exchange Trading, Trading Platform, Transaction Processing","New City, New York, United States",Real-time FX Payments Infrastructure,"1,084",https://www.openfx.com/,—,"Accel, Castle Island Ventures, Flybridge, Faction, NFX",Accel,https://x.com/openfx_,https://www.linkedin.com/company/openfx,11-50,"$23,000,000",Mar 2024
StackHawk,https://www.crunchbase.com/organization/stackhawk,"May 22, 2025","$47,325,000",Not Started,"Developer APIs, Developer Tools, DevOps, SaaS, Security, Software","Denver, Colorado, United States",StackHawk is an API and application security testing platform that enables detection and resolution of application vulnerabilities.,"1,247",https://www.stackhawk.com/,$1M to $10M,"Alumni Ventures, Sapphire Ventures, Flybridge, Costanoa Ventures, Foundry Group","Costanoa Ventures, Foundry Group, Sapphire Ventures",https://x.com/stackhawk,https://www.linkedin.com/company/stackhawk,11-50,"$12,000,000",2019
Arrive AI,https://www.crunchbase.com/organization/dronedek,"May 22, 2025","$51,288,964",Not Started,"Artificial Intelligence (AI), Delivery, Drones, Information Technology, Logistics, Robotics, Transportation","Indianapolis, Indiana, United States",Arrive AI is a smart Mailbox-as-a-Service infrastructure and platform for autonomous delivery networks.,"2,830",https://www.arriveai.com/,Less than $1M,"Streeterville Capital, Indiana Economic Development Corporation, Meyer Global","Indiana Economic Development Corporation, Streeterville Capital",https://x.com/DRONEDEK_Corp,https://www.linkedin.com/company/dronedek,11-50,"$40,000,000","Feb 4, 2014"
Penfold,https://www.crunchbase.com/organization/penfold,"May 22, 2025","£24,883,629",Not Started,"Financial Services, FinTech, Mobile, Mobile Apps, Personal Finance","London, England, United Kingdom",Penfold is a pension management company that assists its users in tracking their pensions.,"3,556",http://www.getpenfold.com/,$1M to $10M,"Plug and Play, Gresham House Ventures, Elkstone Capital Partners, Crowdcube, Force Over Mass Capital","Bridford Group, Gresham House Ventures",https://x.com/Getpenfold,https://www.linkedin.com/company/penfold-technology,51-100,"£3,900,000","May 26, 2018"
UNESCO,https://www.crunchbase.com/organization/unesco,"May 22, 2025","$7,500,000",Not Started,"Education, Government, Non Profit, Social, Social Impact","Paris, Ile-de-France, France","UNESCO is a United Nations agency that promotes education, science, culture, and communication to foster peace and equality worldwide.","5,046",http://en.unesco.org/,$1M to $10M,"Patrick J. McGovern Foundation, Sharjah Book Authority","Patrick J. McGovern Foundation, Sharjah Book Authority",https://x.com/unesco,http://www.linkedin.com/company/unesco,1001-5000,"$6,000,000",1945
Senti Biosciences,https://www.crunchbase.com/organization/senti-biosciences,"May 22, 2025","$272,500,000",Not Started,"Biotechnology, Health Care, Medical, Therapeutics","South San Francisco, California, United States",Senti Bio is a clinical-stage biotechnology company developing a new generation of cell and gene therapies for cancer.,"5,512",https://www.sentibio.com/,$1M to $10M,"Menlo Ventures, Gaingels, Pear VC, 8VC, Omega Funds","California Institute for Regenerative Medicine, Celadon Partners, Leaps by Bayer, National Science Foundation, New Enterprise Associates",https://x.com/sentibio,https://www.linkedin.com/company/senti-biosciences,51-100,"$1,000,000",2016
General Medicine,https://www.crunchbase.com/organization/general-medicine,"May 22, 2025","$32,000,000",Not Started,"Health Care, Medical, mHealth","Salt Lake City, Utah, United States","General Medicine is a newly launched, nationwide healthcare platform.","6,054",https://generalmedicine.co/,—,"BoxGroup, Matrix, Founder Collective, JSL Health Capital, VXI Capital",Matrix,https://x.com/generalmedco,https://www.linkedin.com/company/general-medicine/,51-100,"$32,000,000",2023
Quobly,https://www.crunchbase.com/organization/quobly,"May 22, 2025","€40,000,000",Not Started,"Information Technology, Quantum Computing, Semiconductor","Grenoble, Rhone-Alpes, France","Quobly create and market a universal large-scale quantum computer, using tried-and-true semiconductor industry procedures.","9,233",https://www.quobly.io/,—,"Bpifrance, Supernova Invest, BNP Paribas, Quantonation, Innovacom","Bpifrance, EIC Accelerator, EIC Scaling Club, France 2030, Innovacom, Quantonation, Supernova Invest",,https://www.linkedin.com/company/quobly,51-100,"€15,000,000",2022
trawa,https://www.crunchbase.com/organization/trawa,"May 22, 2025","€36,400,000",Not Started,"Clean Energy, CleanTech, Renewable Energy, Software","Berlin, Berlin, Germany",End-to-End Energy-as-a-Service for Small and Medium Sized Enterprise,"9,960",https://www.trawa.de/,$10M to $50M,"Speedinvest, Norrsken VC, Headline, AENU, Balderton Capital","Balderton Capital, Headline, Magnetic Capital, Speedinvest",,https://www.linkedin.com/company/trawa-energy/,11-50,"€24,000,000",2022
Kota,https://www.crunchbase.com/organization/yonder-9088,"May 22, 2025","$22,374,048",Not Started,"Apps, Financial Services, FinTech, Insurance, InsurTech, Retirement","Dublin, Dublin, Ireland",We make it extraordinarily easy to roll out and manage benefits globally.,"11,566",https://www.kota.io/,—,"Northzone, EQT Ventures, Unpopular Ventures, Frontline Ventures, Eurazeo","EQT Ventures, Eurazeo, Frontline Ventures, Northzone",https://x.com/kota_benefits,https://www.linkedin.com/company/kotabenefits,11-50,"$14,500,000",Feb 2022
VuMedi,https://www.crunchbase.com/organization/vumedi,"May 22, 2025","$82,081,416",Not Started,"EdTech, Education, Health Care, Medical","Oakland, California, United States","VuMedi is a video-sharing website for surgeons in the orthopedic, cardiovascular, neurosurgery, and radiology sectors.","12,615",http://www.vumedi.com/,$1M to $10M,—,—,https://x.com/vumedi,https://www.linkedin.com/company/vumedi-inc,101-250,"$79,981,927",2009
Bright Security,https://www.crunchbase.com/organization/neuralegion,"May 22, 2025","$30,300,000",Not Started,"Apps, Artificial Intelligence (AI), Cyber Security, Developer APIs, DevOps, Machine Learning, SaaS, Security, Software, Web Development","San Rafael, California, United States",Bright Security is an AI -powered application security platform that integrates application security into SDLC.,"14,805",https://brightsec.com/,$10M to $50M,"Fusion Fund, DNX Ventures, Evolution Equity Partners, J-Ventures, Stormbreaker Ventures","DNX Ventures, Evolution Equity Partners, Toloka.vc",https://x.com/brightappsec,https://www.linkedin.com/company/brightappsec/,101-250,"$5,000,000","May 18, 2018"
Euronext,https://www.crunchbase.com/organization/euronext,"May 22, 2025","€425,000,000",Not Started,"Finance, Financial Services, Information Technology","Amsterdam, Noord-Holland, The Netherlands",Euronext is the pan-European exchange in the Eurozone that connects local economies to global capital markets.,"15,433",https://www.euronext.com/en,$1B to $10B,—,—,https://x.com/euronext,https://www.linkedin.com/company/euronext/,1001-5000,"€425,000,000",2000
