Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
NEOGOV,https://www.crunchbase.com/organization/neogov,"Jul 28, 2025","$700,000,000",Not Started,"GovTech, Human Resources, Information Technology, Software","El Segundo, California, United States","NEOGOV is the leading provider of workforce management software uniquely designed for the public sector, education, and public safety.","4,464",http://www.neogov.com/,$100M to $500M,"Warburg Pincus, The Carlyle Group, CPP Investments","The Carlyle Group, Warburg Pincus",https://x.com/NEOGOV,https://www.linkedin.com/company/neogov,501-1000,"$700,000,000",1999
MapLight Therapeutics,https://www.crunchbase.com/organization/alvarado-therapeutics,"Jul 28, 2025","$640,599,999",Not Started,"Biopharma, Biotechnology, Life Science, Medical","Palo Alto, California, United States",MapLight Therapeutics is a biopharma company that offers a platform designed to discover and develop therapeutics for brain disorders.,"5,321",https://maplightrx.com/,—,"Blue Owl, Sanofi, 5AM Ventures, Novo Holdings, T. Rowe Price","5AM Ventures, Cowen Healthcare Investments, Forbion Capital Partners, Goldman Sachs Alternatives, Michael J. Fox Foundation, Novo Holdings",https://x.com/Maplightrx,https://www.linkedin.com/company/maplight-therapeutics-inc,51-100,"$372,500,000",2018
E2B,https://www.crunchbase.com/organization/e2b-1c91,"Jul 28, 2025","$35,024,871",Not Started,"Artificial Intelligence (AI), Cloud Management, Developer APIs, Software","San Francisco, California, United States",E2B develops a cloud infrastructure tailored for AI agents and applications.,"5,625",https://e2b.dev/,—,"Insight Partners, KAYA, Pareto Holdings, Edward Lando, Decibel Partners","Decibel Partners, Insight Partners, KAYA",https://x.com/e2b_dev,https://www.linkedin.com/company/e2b-dev,11-50,"$21,000,000",2023
Brown University,https://www.crunchbase.com/organization/brown-university-2,"Jul 28, 2025","$860,759,662",Not Started,"Education, Higher Education, Universities","Providence, Rhode Island, United States",Brown University is an Ivy League research university that provides undergraduate and graduate programs.,"5,767",https://www.brown.edu/,$1B to $10B,"National Institutes of Health, NASA, Department of Energy & Environment, RI Life Science Hub, Pablo Legorreta","Department of Energy & Environment, NASA, RI Life Science Hub",https://x.com/BrownUniversity,https://www.linkedin.com/school/brown-university,5001-10000,"$500,000,000",1764
Salient,https://www.crunchbase.com/organization/salient,"Jul 28, 2025","$60,500,000",Not Started,"Artificial Intelligence (AI), Automotive, Finance, Financial Services, Information Technology, Internet","San Francisco, California, United States",Salient is an AI-driven loan servicing platform built specifically for consumer finance and auto lending industries.,"6,255",https://www.trysalient.com/,$10M to $50M,"Andreessen Horowitz, Y Combinator, Matrix, Michael Ovitz","Andreessen Horowitz, Y Combinator",https://x.com/trysalient,https://www.linkedin.com/company/salientai,11-50,"$60,000,000",2023
ImageneBio,https://www.crunchbase.com/organization/inmagene-biopharmaceuticals,"Jul 28, 2025","$196,000,000",Not Started,"Biopharma, Biotechnology, Health Care","San Diego, California, United States","ImageneBio is dedicated to developing therapeutics for patients with immunological, autoimmune and inflammatory diseases","6,679",https://imagenebio.com/,$1M to $10M,"Blue Owl, Omega Funds, RTW Investments, Foresite Capital, Highlight Capital","Highlight Capital, Panacea Venture, Vertex Ventures China",,https://www.linkedin.com/company/inmagene-biopharmaceuticals/,11-50,"$75,000,000",2019
Tensordyne,https://www.crunchbase.com/organization/recogni,"Jul 28, 2025","$211,050,000",Not Started,"AI Infrastructure, Artificial Intelligence (AI), Semiconductor, Software","Sunnyvale, California, United States","Math, Chips, and Systems for AI Inference.","7,875",https://www.tensordyne.ai/,$1M to $10M,"Plug and Play, Toyota Ventures, Mayfield Fund, Bosch Ventures, GreatPoint Ventures","Celesta Capital, GreatPoint Ventures, HSBC Innovation Banking, Premji Invest",https://x.com/tensordyneinc?s=21,https://www.linkedin.com/company/tensordyne/,101-250,"$35,000,000",Nov 2017
Julius AI,https://www.crunchbase.com/organization/julius-ai,"Jul 28, 2025","$10,500,000",Not Started,"Analytics, Artificial Intelligence (AI), Data Visualization, Information Technology","San Francisco, California, United States",Julius AI is an artificial intelligence platform that develops and analyzes data with computational AI.,"8,013",https://julius.codes/,—,"Bessemer Venture Partners, 8VC, Y Combinator, Karman Ventures, Guillermo Rauch","Bessemer Venture Partners, Y Combinator",https://x.com/JuliusAI_,https://www.linkedin.com/company/julius-ai/,1-10,"$10,000,000",2022
FOSSA,https://www.crunchbase.com/organization/fossa-2,"Jul 28, 2025","$43,549,972",Not Started,"Compliance, Developer Tools, Open Source, SaaS, Software","San Francisco, California, United States",FOSSA is the developer's choice for managing open source risk and reporting.,"8,489",http://fossa.com/,$50M to $100M,"Norwest, Hack VC, Bain Capital Ventures, Costanoa Ventures, Canvas Prime","Bain Capital Ventures, Canvas Prime, Costanoa Ventures",https://x.com/getfossa,https://www.linkedin.com/company/fossa/,51-100,"$5,149,993",2015
1Komma5°,https://www.crunchbase.com/organization/1komma5,"Jul 28, 2025","€652,500,000",Not Started,"Charging Infrastructure, Energy, Energy Storage, Renewable Energy","Hamburg, Hamburg, Germany",1Komma5° is a home electrification and climatetech company that provides intelligent energy solutions and promotes a CO₂-neutral lifestyle.,"8,797",https://1komma5.com/,$500M to $1B,"Norrsken VC, Deutsche Bank, G2 Venture Partners, BNP Paribas, 2150","2150, b2venture, CalSTRS, eCAPITAL ENTREPRENEURIAL PARTNERS, Eurazeo, G2 Venture Partners, Hamilton Lane, Norrsken Foundation, Norrsken VC, Porsche Ventures, Sabanci Climate Technologies",https://x.com/1KOMMA5GRAD,https://www.linkedin.com/company/1komma5grad,1001-5000,—,2021
Quartr,https://www.crunchbase.com/organization/quartr,"Jul 28, 2025","$23,026,765",Not Started,Financial Services,"Stockholm, Stockholms Lan, Sweden","Quartr is a software company. Our product suite consists of our free mobile application, and a web application built for professionals.","9,690",https://quartr.com/,$1M to $10M,"Flat Capital, Altos Ventures, Yanno Capital, Centripetal, Öhman Group","Altos Ventures, Öhman Group",https://x.com/Quartr_App,https://www.linkedin.com/company/quartr-ab,11-50,"$10,000,000",Nov 2020
BridgePort,https://www.crunchbase.com/organization/bridgeport,"Jul 28, 2025","$6,425,000",Not Started,"Cryptocurrency, Financial Services, FinTech, Trading Platform, Web3","New York, New York, United States","BridgePort is a fintech company that provides middleware for institutional crypto trading, custodial options for off-exchange settlement.","10,096",https://www.bridgeportmq.com/,—,"Blockchain Founders Fund, Further Ventures, Virtu Financial, XBTO Humla Ventures, FunFair Ventures",Further Ventures,https://x.com/BridgePortMQ,https://www.linkedin.com/company/bridgeportmq/,1-10,"$3,225,000",Jan 2024
Farmers Business Network,https://www.crunchbase.com/organization/farmers-business-network,"Jul 28, 2025","$967,900,000",Not Started,"Agriculture, AgTech, E-Commerce, Farming, Marketplace, Sustainability","San Francisco, California, United States","Farmers Business Network is a digital marketplace that helps farmers buy inputs, access financing, and join marketing programs.","10,186",https://www.fbn.com/,$100M to $500M,"Temasek Holdings, BlackRock, Kleiner Perkins, Fidelity, T. Rowe Price","Acre Venture Partners, BlackRock Innovation Capital, DBL Partners, Fidelity, Google Ventures, Kleiner Perkins, Temasek Holdings, T. Rowe Price",https://x.com/fbnfarmers,https://www.linkedin.com/company/farmers-business-network,501-1000,"$50,000,000",2014
Zodia Markets,https://www.crunchbase.com/organization/zodia-markets,"Jul 28, 2025","$18,250,000",Not Started,"Asset Management, Blockchain, Cryptocurrency, Financial Services, Trading Platform","London, England, United Kingdom","Zodia Markets is a digital asset trading platform that provides custody of digital assets, brokerage, trade, investments, and exchange.","12,406",https://zodiamarkets.com/,Less than $1M,"Human Capital, Circle Ventures, Pharsalus Capital, XVC Tech, The Operating Group",Pharsalus Capital,https://x.com/zodiamarkets,https://www.linkedin.com/company/zodiamarkets/,11-50,"$18,250,000",2021
