Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Hamilton Lane,https://www.crunchbase.com/organization/hamilton-lane,"Sep 2, 2025","$591,200,000",Not Started,"Business Development, Financial Services, FinTech, Insurance, Wealth Management","Bala Cynwyd, Pennsylvania, United States",Hamilton Lane is a private market investment firm that serves institutional and private wealth investors worldwide.,"2,216",http://hamiltonlane.com/,$500M to $1B,—,—,https://x.com/hamilton_lane,https://www.linkedin.com/company/hamilton-lane,501-1000,"$77,500,000",1991
Flex,https://www.crunchbase.com/organization/flex-711e,"Sep 2, 2025","$18,200,000",Not Started,"Finance, Financial Services, Payments","San Francisco, California, United States","Flex is a financial services company that provides analysis, integration, and management solutions for HSA/FSA payments.","2,906",https://www.withflex.com/,—,"Y Combinator, SV Angel, Liquid 2 Ventures, First Round Capital, Precursor Ventures","Core Innovation Capital, First Round Capital",,https://www.linkedin.com/company/withflex/,1-10,"$15,000,000",2023
NRx Pharmaceuticals,https://www.crunchbase.com/organization/neurorx,"Sep 2, 2025","$161,281,678",Not Started,"Biopharma, Biotechnology, Health Care, Pharmaceutical, Therapeutics","Wilmington, Delaware, United States",NRx Pharmaceuticals is a pharmaceutical company developing therapeutics for the treatment of central nervous system disorders.,"4,246",https://www.nrxpharma.com/,$50M to $100M,"Streeterville Capital, Anson Funds, THE CATALYTIC IMPACT FOUNDATION (CIF), Kinled Holding","Anson Funds, Streeterville Capital",https://x.com/NRxPharma,https://www.linkedin.com/company/nrx-pharma/,11-50,"$8,800,000",2015
Commvault,https://www.crunchbase.com/organization/commvault,"Sep 2, 2025","$900,000,000",Not Started,"Data Management, Information Technology, Software","Little Falls, New Jersey, United States",Commvault is a cyber resilience platform built for recovery and protection against threats.,"4,660",https://www.commvault.com/,$500M to $1B,Will Herman,—,https://x.com/Commvault,https://www.linkedin.com/company/commvault,1001-5000,"$900,000,000",1996
Phasecraft,https://www.crunchbase.com/organization/phasecraft,"Sep 2, 2025","$56,458,565",Not Started,"Computer, Information Technology, Quantum Computing, Software","London, England, United Kingdom",Phasecraft develops quantum algorithms and related intellectual property for scientific and industrial applications.,"5,408",https://www.phasecraft.io/,$1M to $10M,"LocalGlobe, Episode 1, Novo Holdings, Plural Platform, Playground Global","LocalGlobe, Novo Holdings, Playground Global, Plural Platform, UCL Technology Fund",,https://www.linkedin.com/company/phasecraft,11-50,"$34,000,000",2018
Parable,https://www.crunchbase.com/organization/parable-d4b6,"Sep 2, 2025","$21,836,433",Not Started,"Artificial Intelligence (AI), Business Intelligence, Enterprise Software, SaaS","Brooklyn, New York, United States",Parable is the AI intelligence layer for enterprise operations.,"6,205",https://www.askparable.com/,—,"HOF Capital, Story Ventures, Panache Ventures, InMotion Ventures, SuperCharger Ventures",HOF Capital,,https://www.linkedin.com/company/parablework/,11-50,"$16,636,433","Jun 1, 2024"
Shields Health Solutions,https://www.crunchbase.com/organization/shields-health-solutions,"Sep 2, 2025","$3,500,000,000",Not Started,"Biopharma, Health Care, Medical, Pharmaceutical","Stoughton, Massachusetts, United States",Shields Health Solutions is a specialty pharmacy accelerator that partners with hospitals to develop and manage specialty pharmacy programs.,"7,108",https://shieldshealthsolutions.com/,—,Evernorth,Evernorth,https://x.com/shields_rx,https://www.linkedin.com/company/shields-health-solutions,1001-5000,"$3,500,000,000",2012
CHARM Therapeutics,https://www.crunchbase.com/organization/charm-therapeutics,"Sep 2, 2025","$162,690,588",Not Started,"Artificial Intelligence (AI), Biotechnology, Life Science, Therapeutics","London, England, United Kingdom",Charm Therapeutics designs and develops small-molecule therapeutics that target the interaction between menin and the KMT2A protein.,"7,651",https://charmtx.com/,$1M to $10M,"General Catalyst, NVIDIA, Khosla Ventures, New Enterprise Associates, NVentures","F-Prime, New Enterprise Associates, NVentures, OrbiMed, SR One",https://x.com/CHARMTherapeutx,https://www.linkedin.com/company/charm-therapeutics,11-50,"$80,000,000",2021
DOF,https://www.crunchbase.com/organization/dof-installer-asa,"Sep 2, 2025","$1,324,723,455",Not Started,"Energy, Industrial Engineering, Marine Technology, Oil and Gas","Storebö, Hordaland, Norway",DOF is a subsea engineering and marine services company that provides services for the offshore operations.,"8,170",https://www.dof.com/,$1B to $10B,—,—,,https://www.linkedin.com/showcase/dofgroup,5001-10000,"$150,000,000",1981
Royalty Pharma,https://www.crunchbase.com/organization/royalty-pharma,"Sep 2, 2025","$3,500,000,000",Not Started,"Biotechnology, Manufacturing, Pharmaceutical","New York, New York, United States",Industry leader in investing in marketed and late stage biopharmaceutical products,"8,715",http://royaltypharma.com/,$1B to $10B,General Atlantic,—,,https://www.linkedin.com/company/royalty-pharma/,11-50,"$2,000,000,000",1996
