Organization Name,CrunchBase URL,Last Funding Date,Total Funding Amount,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,Estimated Revenue Range,Top 5 Investors,Lead Investors,Twitter,LinkedIn,Number of Employees,Last Funding Amount,Founded Date
Norm AI,https://www.crunchbase.com/organization/norm-ai,"Nov 14, 2025","$136,100,000",Not Started,"Artificial Intelligence (AI), Compliance, Legal Tech","New York, New York, United States",Norm AI is a regulatory AI agent company that automates legal and compliance tasks.,529,https://www.norm.ai/,—,"Craft Ventures, Bain Capital, Coatue, Basis Set Ventures, Bain Capital Ventures","Blackstone Innovations Investments, Coatue",https://x.com/normativeai,https://www.linkedin.com/company/normative-ai/,51-100,"$50,000,000",2023
TidalWave,https://www.crunchbase.com/organization/tidalwave-7da2,"Nov 14, 2025","$22,000,000",Not Started,"Artificial Intelligence (AI), Banking, Enterprise, Financial Services, Generative AI, Mortgage","New York, New York, United States",Agentic AI mortgage platform,"1,452",https://www.tidalwave.ai/,$10M to $50M,"Engineering Capital, D.R. Horton, Permanent Capital Partners",Permanent Capital Partners,,https://www.linkedin.com/company/tidalwave-ai/,11-50,"$22,000,000",Mar 2023
KoBold Metals,https://www.crunchbase.com/organization/kobold-metals,"Nov 14, 2025","$1,224,504,127",Not Started,"Artificial Intelligence (AI), Mineral, Mining, Software","Berkeley, California, United States",KoBold Metals is an AI-powered critical mineral startup that discovers essential materials for electric vehicles and renewable energy.,"2,269",https://www.koboldmetals.com/,$100M to $500M,"Andreessen Horowitz, Bond, StepStone Group, Breakthrough Energy Ventures, BHP","Andreessen Horowitz, Durable Capital Partners, T. Rowe Price",https://x.com/KoBold_Metals,https://www.linkedin.com/company/koboldmetals,101-250,"$280,004,127",2018
ElectronX,https://www.crunchbase.com/organization/electronx,"Nov 14, 2025","$61,529,982",Not Started,"Energy, Financial Services, FinTech","Chicago, Illinois, United States",ElectronX is an energy exchange focusing on managing short-term price volatility in the electricity market.,"4,395",https://electronx.com/,—,"BoxGroup, Amplo, DCVC, Innovation Endeavors, NGP Energy Capital Management","DCVC, Innovation Endeavors, Systemiq capital",https://x.com/Trade_ElectronX,https://www.linkedin.com/company/trade-electronx,11-50,"$36,529,982",2022
Papa John's,https://www.crunchbase.com/organization/papa-johns,"Nov 14, 2025","$1,110,585,246",Not Started,"Food and Beverage, Food Delivery, Restaurants","Atlanta, Georgia, United States",Papa John's Pizza is an American restaurant company that runs the third largest take-out and pizza delivery restaurant.,"10,888",https://www.papajohns.com/,$1B to $10B,"TVS Capital Funds, Starboard Value, Irenic Capital Management","Irenic Capital Management, Starboard Value, TVS Capital Funds",https://x.com/PapaJohns,https://www.linkedin.com/company/papa-johns-international,10001+,—,1985
Sim,https://www.crunchbase.com/organization/sim-4961,"Nov 14, 2025","$7,500,000",Not Started,"Artificial Intelligence (AI), Data Integration, Information Technology, Software","San Francisco, California, United States",Sim is a software development company that provides an artificial intelligence platform to automate workflow and sync data.,"11,547",https://www.sim.ai/,—,"Perplexity, Y Combinator, SV Angel, Liquid 2 Ventures, TwentyTwo VC","Standard Capital, Y Combinator",https://x.com/simdotai,https://www.linkedin.com/company/simdotai,1-10,"$7,000,000",2025
Model Medicines,https://www.crunchbase.com/organization/model-medicines,"Nov 14, 2025","$22,114,032",Not Started,"Artificial Intelligence (AI), Biotechnology, Machine Learning, Medical, Pharmaceutical","La Jolla, California, United States",Model Medicines uses human expertise and AI to accelerate the development of life-changing drugs at scale.,"16,226",https://www.modelmedicines.com/,$1M to $10M,"8VC, Irving Investors, Nex Cubed, TRITON FUNDS LLC, Friedman BioVentures",BioTools Innovator,https://x.com/modelmedicines,https://www.linkedin.com/company/modelmedicines,1-10,"$3,260,000",2019
Modvion,https://www.crunchbase.com/organization/modvion,"Nov 14, 2025","$71,327,089",Not Started,"CleanTech, Energy, Manufacturing, Renewable Energy, Wind Energy","Göteborg, Vastra Gotaland, Sweden","Modvion designs, produces, and installs wind turbine towers constructed from engineered wood.","21,351",http://www.modvion.com/,$1M to $10M,"European Innovation Council, MassChallenge, Course Corrected, Chalmers Ventures AB, EISMEA","CMPC Ventures, EIC Scaling Club, European Innovation Council, The European Innovation Fund, Vestas Ventures",,https://www.linkedin.com/company/modvion,11-50,"€39,100,000",2016
Scento,https://www.crunchbase.com/organization/scento-ed83,"Nov 14, 2025","$25,000,000",Not Started,"Artificial Intelligence (AI), Beauty, E-Commerce, Retail, Software","Paris, Ile-de-France, France",Scento is Europe's largest online perfume sample and decant retailer.,"21,694",https://www.scento.com/,—,—,—,https://x.com/scentoclub,https://www.linkedin.com/company/scento-com,51-100,"$25,000,000",Dec 2023
TeleTeachers,https://www.crunchbase.com/organization/teleteachers,"Nov 14, 2025","$6,023,696",Not Started,"E-Learning, Software, Speech Recognition","Chicago, Illinois, United States",TeleTeachers operates as a speech-language pathologist.,"23,096",https://teleteachers.com/,$1M to $10M,"George Spencer, Jerry Putnam","George Spencer, Jerry Putnam",https://x.com/teleteachers,https://www.linkedin.com/company/teleteachers/,11-50,"$1,300,000",2019
