"Organization Name","Last Funding Date","Total Funding Amount","Stage","Industries","Headquarters Location","Description","CB Rank (Company)","Website","Estimated Revenue Range","Top 5 Investors","Lead Investors"
"Anthropic","Feb 12, 2026","$63,740,377,627","Not Started","Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning","San Francisco, California, United States","Anthropic is an AI safety and research company that builds reliable, interpretable, and steerable AI systems.","1","https://www.anthropic.com/","$1B to $10B","Menlo Ventures, TPG, General Catalyst, Accel, General Atlantic","Advanced Technology Investment Company, Amazon, Coatue, D. E. Shaw & Co., Dragoneer Investment Group, Fidelity, Founders Fund, FTX, GIC, Google, G Squared, ICONIQ Capital, Jaan Tallinn, Lightspeed Venture Partners, Manhattan Venture Partners (MVP), Menlo Ventures, MGX, SK Telecom, Spark Capital"
"OpenAI","Feb 27, 2026","$189,000,120,000","Not Started","Agentic AI, Artificial Intelligence (AI), Foundational AI, Generative AI, Machine Learning, Natural Language Processing, SaaS","San Francisco, California, United States","OpenAI is an AI research and deployment company that develops advanced AI models, including ChatGPT.","3","https://www.openai.com/","$10B+","Andreessen Horowitz, TPG, NVIDIA, Sequoia Capital, Insight Partners","Amazon, Andreessen Horowitz, K2 Global, Khosla Ventures, Microsoft, NVIDIA, Reid Hoffman Foundation, Sequoia Capital, SoftBank, The Walt Disney Company, Thrive Capital, Tiger Global Management, Y Combinator"
"World Labs","Feb 18, 2026","$1,230,000,000","Not Started","3D Technology, Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology","San Francisco, California, United States","World Labs develops AI models with spatial intelligence for 3D world perception and interaction.","8","https://www.worldlabs.ai/","—","Andreessen Horowitz, NVIDIA, Radical Ventures, Salesforce Ventures, SV Angel","Andreessen Horowitz, Cisco, New Enterprise Associates, Radical Ventures"
"Stripe","Feb 24, 2026","$9,440,247,725","Not Started","Finance, FinTech, Mobile Payments, SaaS","South San Francisco, California, United States","Stripe enables businesses to accept payments, manage billing, and embed financial services into digital platforms.","14","https://stripe.com/","$100M to $500M","Andreessen Horowitz, General Catalyst, Lightspeed Venture Partners, Sequoia Capital, Temasek Holdings","Allianz X, Andreessen Horowitz, AXA Group, Baillie Gifford, CapitalG, Fidelity, Founders Fund, General Catalyst, Heavybit, MSD Partners, National Treasury Management Agency (NTMA), Sequoia Capital, Thrive Capital, Tiger Global Management, Y Combinator"
"Sage","Mar 5, 2026","$124,000,000","Not Started","Elder Care, Medical, Nursing and Residential Care, Software","New York, New York, United States","Sage is an operation management system used by senior living communities to manage resident care and facility operations.","15","https://www.sagehealth.com/","—","IVP, Maveron, Friends & Family Capital, Goldcrest Capital, Goldman Sachs Alternatives","Goldcrest Capital, Goldman Sachs Alternatives, IVP, Maveron"
"Eight Sleep","Mar 4, 2026","$312,066,621","Not Started","Consumer Electronics, Health Care, Wellness","New York, New York, United States","Eight Sleep develops connected sleep systems that combine temperature regulation, biometric monitoring, and adjustable bed features.","18","http://eightsleep.com/","$100M to $500M","General Catalyst, Valor Equity Partners, HSG, Gaingels, 8VC","Founders Fund, HSG, Khosla Ventures, Tether Ventures, Valor Equity Partners"
"TPG","Feb 19, 2026","$2,677,848,425","Not Started","Asset Management, Digital Media, Financial Services","San Francisco, California, United States","TPG is an asset management firm that provides investing in private equity, real estate, credit, and growth platforms.","21","http://www.tpg.com/","$1B to $10B","Ares Management, Jackson, Kohlberg Kravis Roberts & Co., Barings, Partners Group","Ares Management, Jackson"
"VisionWave","Feb 25, 2026","$80,141,630","Not Started","3D Technology, Aerospace, Artificial Intelligence (AI)","Wilmington, Delaware, United States","VisionWave is a defense company offering developement of AI, aerospace engineering, Radio Frequency technology, and autonomous solutions.","24","https://www.visionwave.tech/","$10M to $50M","Yorkville Advisors, Matania Moskovich","Matania Moskovich, Yorkville Advisors"
"Kalshi","Feb 19, 2026","$1,645,094,988","Not Started","Finance, Financial Exchanges, Financial Services, FinTech, Internet, Prediction Markets, Predictive Analytics","New York, New York, United States","Kalshi is a regulated prediction market where users trade event-based contracts tied to real-world outcomes.","25","https://kalshi.com/","$1B to $10B","Andreessen Horowitz, General Catalyst, Sequoia Capital, Paradigm, Y Combinator","Andreessen Horowitz, CapitalG, Global Founders Capital, Paradigm, Sequoia Capital, Tradeweb, Y Combinator"
"Ayar Labs","Feb 28, 2026","$874,650,000","Not Started","AI Infrastructure, Artificial Intelligence (AI), Computer, Hardware, Information Technology, Semiconductor","San Jose, California, United States","Ayar Labs develops optical I/O solutions with co-packaged optical engines for AI and high-performance computing infrastructure.","26","https://ayarlabs.com/","$10M to $50M","NVIDIA, Sequoia Capital, Insight Partners, Alumni Ventures, Advent International","Advent International, BlueSky Capital, Boardman Bay Capital Management, Capital TEN, DARPA, Downing Ventures, Founders Fund, Light Street Capital, Lockheed Martin Ventures, National Science Foundation, Neuberger Berman, Playground Global, Silicon Valley Bank"
"Wayve","Feb 24, 2026","$2,461,599,904","Not Started","Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning","London, England, United Kingdom","Wayve develops autonomous driving technology using end-to-end deep learning models that enable vehicles to navigate urban environments.","30","https://wayve.ai/","—","NVIDIA, British Business Bank, Eclipse Ventures, Schroders Capital, Icehouse Ventures","Balderton Capital, Compound, Eclipse Ventures, Fly Ventures, Future Fifty, Innovate UK, Ocado Group, SoftBank, SoftBank Vision Fund, Uber"
"Infleqtion","Feb 17, 2026","$434,378,117","Not Started","Electronics, Manufacturing, Mechanical Design, Mechanical Engineering, Quantum Computing","Louisville, Colorado, United States","Infleqtion is a quantum information company that develops software-configured and quantum-enabled products.","34","https://www.infleqtion.com/","$10M to $50M","S32, Maverick Ventures, S Ventures, Foundry Group, Innovate UK","BOKA Group, Global Frontier Investments, Innovate UK, Lennox Capital Partners, Maverick Ventures, UK Research and Innovation, U.S. Department of Defense, US Department of Energy, Wellcome Leap"
"AST SpaceMobile","Feb 12, 2026","$4,918,120,000","Not Started","Information Technology, Satellite Communication, Telecommunications","Midland, Texas, United States","AST SpaceMobile is a space-based broadband cellular network company for unmodified mobile devices.","41","https://ast-science.com/","$50M to $100M","Google, Vodafone, Samsung NEXT, Trinity Capital, Seraphim Space","Atlas Credit Partners, Rakuten, Trinity Capital, Vodafone"
"SurrealDB","Feb 17, 2026","$44,000,000","Not Started","Big Data, Cloud Computing, Database, Developer Platform, Developer Tools, Enterprise Software, Open Source","London, England, United Kingdom","SurrealDB is an AI-native, multi-model database that combines various data models into a single engine to simplify application development.","42","https://surrealdb.com/","$1M to $10M","Alumni Ventures, FirstMark, Georgian, Begin Capital, Chalfen Ventures","Chalfen Ventures, FirstMark, Georgian"
"Talkiatry","Feb 12, 2026","$452,000,000","Not Started","Health Care, Medical, Mental Health, mHealth, Wellness","New York, New York, United States","Talkiatry provides virtual mental healthcare services covered by insurance, connecting patients with licensed psychiatrists.","43","http://www.talkiatry.com/","$10M to $50M","Andreessen Horowitz, Left Lane Capital, Perceptive Advisors, Blisce, GreyMatter","Andreessen Horowitz, Banc of California, Blisce, Left Lane Capital, Perceptive Advisors"
"Runway","Feb 10, 2026","$859,500,000","Not Started","Apps, Artificial Intelligence (AI), Foundational AI, Generative AI, Machine Learning, Software, Video Editing","New York, New York, United States","Runway offers generative AI tools for creating images, videos, and simulations, enabling new creative workflows through AI.","44","https://runwayml.com/","$100M to $500M","General Atlantic, NVIDIA, Madrona, Felicis, Coatue","Amplify Partners, Coatue, Compound, Felicis, General Atlantic, Salesforce Ventures"
"Vast","Mar 5, 2026","$650,000,000","Not Started","Hardware, Manufacturing, Space Travel","Long Beach, California, United States","Vast develops space habitation systems and orbital infrastructure designed to support human activities in space.","50","https://www.vastspace.com/","$1M to $10M","Qatar Investment Authority, Space Capital, Stellar Ventures, Nikon, Outliers Fund","Balerion Space Ventures, IQT"
"Axiom Space","Feb 12, 2026","$850,000,000","Not Started","Aerospace, Industrial Manufacturing, Space Travel","Houston, Texas, United States","Axiom Space is a space infrastructure company that develops commercial human spaceflight services and orbital platforms.","58","http://www.axiomspace.com/","$100M to $500M","Alumni Ventures, Gaingels, 1789 Capital, Qatar Investment Authority, Bossa Invest","1789 Capital, Aljazira Capital, Boryung Pharmaceutical, C5 Capital, IBX, Qatar Investment Authority, Type One Ventures"
"Bullish","Feb 9, 2026","$23,030,000","Not Started","Cryptocurrency, Financial Services, FinTech, Information Technology","San Francisco, California, United States","Bullish is a regulated and audited global cryptocurrency exchange that allows users to securely buy, sell, and trade digital assets.","62","http://www.bullish.com/","$50M to $100M","ARK Investment Management, Magma Partners","ARK Investment Management, Magma Partners"
"Decagon","Mar 4, 2026","$481,000,000","Not Started","Artificial Intelligence (AI), Generative AI, Machine Learning, Software","San Francisco, California, United States","Decagon provides a conversational AI platform for automating customer support across multiple channels.","66","https://decagon.ai/","—","Andreessen Horowitz, Accel, Forerunner, Index Ventures, Bond","Accel, Andreessen Horowitz, Bain Capital Ventures, Coatue, Index Ventures"
"Apptronik","Feb 11, 2026","$963,789,424","Not Started","Artificial Intelligence (AI), Industrial Automation, Machinery Manufacturing, Robotics","Austin, Texas, United States","Apptronik is a robotics company that designs and builds humanoid robots for various real-world applications.","70","https://apptronik.com/","—","B Capital, Scrum Ventures, Google, Samsung NEXT, E1 Ventures","B Capital, Capital Factory, Google, Humanoid Global, Mercedes-Benz Group AG, Terex"
"Pepper","Feb 20, 2026","$100,000,000","Not Started","Artificial Intelligence (AI), E-Commerce, Food and Beverage, Wholesale","New York, New York, United States","Pepper provides an AI-powered eCommerce platform for food distributors and suppliers to manage customer engagement and order workflows.","74","https://www.usepepper.com/","$10M to $50M","Gaingels, BoxGroup, Index Ventures, Greylock, ICONIQ Growth","Greylock, ICONIQ Growth, Index Ventures, Lead Edge Capital"
"Vestwell","Feb 18, 2026","$623,824,930","Not Started","Employee Benefits, Finance, Financial Services, FinTech, Retirement","New York, New York, United States","Vestwell is a digital savings platform that offers and manages a range of savings and retirement plans.","78","http://vestwell.com/","$100M to $500M","Franklin Templeton, Blue Owl, Lightspeed Venture Partners, Primary Venture Partners, HarbourVest Partners","Blue Owl Capital Corporation, Fin Capital, FinTech Collective, F-Prime, Goldman Sachs Growth Equity, Lightspeed Venture Partners, Sixth Street Growth, Wells Fargo Strategic Capital"
"Allica Bank","Feb 25, 2026","$523,351,449","Not Started","Banking, Finance, Financial Services, FinTech","London, England, United Kingdom","Allica Bank is a fintech company that delivers digital banking services for small and medium-sized businesses.","79","https://www.allica.bank/","$100M to $500M","Blue Owl, TCV, GLG, Sona Asset Management, Atalaya Capital","Atalaya Capital, British Business Investments, GLG, Sona Asset Management, TCV, Ventura Capital, Warwick Capital LLP"
"Novig","Feb 18, 2026","$99,900,000","Not Started","Gambling, Mobile, Prediction Markets, Sports","New York, New York, United States","Novig is a sweepstakes-based sports prediction market in which users participate in peer-to-peer wagering on sporting events.","82","http://novig.co/","—","Forerunner, Gaingels, Y Combinator, Makers Fund, Lux Capital","Forerunner, Lux Capital, Pantera Capital, Y Combinator"
"NuScale Power","Feb 17, 2026","$2,424,649,900","Not Started","Energy, Nuclear, Project Management","Corvallis, Oregon, United States","NuScale Power has developed a small modular reactor (SMR) to supply energy for electrical generation and other heat process applications.","92","http://www.nuscalepower.com/","$10M to $50M","Fluor, US Department of Energy, Nucor Corporation, Segra Capital, Sargent & Lundy","CMEA Capital, JGC Holdings Corporation, US Department of Energy"
"Phoenix Tailings","Feb 19, 2026","$144,440,000","Not Started","Advanced Materials, CleanTech, Industrial, Manufacturing, Mining, Sustainability, Waste Management","Woburn, Massachusetts, United States","Phoenix Tailings is a rare earth metals production company that transforms mining waste (tailings) into usable rare earth metals and alloys.","95","https://www.phoenixtailings.com/","$1M to $10M","Techstars, J2 Ventures, Geodesic Capital, National Science Foundation, Envisioning Partners","ARPA-E, Envisioning Partners, Escape Velocity, MassVentures, National Science Foundation, Nomura, Olive Tree Capital, Presidio Ventures, Techstars, UConn Innovation Fund - University of Connecticut"
"Nominal","Mar 5, 2026","$182,500,000","Not Started","Analytics, Information Technology, SaaS, Software","Austin, Texas, United States","Nominal develops software platforms that support hardware engineering teams with testing, monitoring, and analysis of operational data.","96","https://www.nominal.io/","—","Red Glass Ventures, General Catalyst, Sequoia Capital, Lightspeed Venture Partners, BoxGroup","Founders Fund, General Catalyst, Lux Capital, Sequoia Capital"
"Whop","Feb 25, 2026","$273,000,002","Not Started","E-Commerce, Internet, Marketplace","Brooklyn, New York, United States","Whop is a marketplace designed for entrepreneurs, facilitating the buying and selling of communities, courses, and software.","97","https://whop.com/","—","Insight Partners, Bain Capital Ventures, A*, SignalFire, Motley Fool Ventures","A*, Bain Capital Ventures, JAM Fund, Justin Mateen, Tether Ventures"
"Profound","Feb 24, 2026","$154,500,000","Not Started","Analytics, Artificial Intelligence (AI), Generative AI, SEO","New York, New York, United States","Profound is an AI visibility and content optimization platform that that helps brands optimize their visibility in generative AI search.","99","https://www.tryprofound.com/","—","Lightspeed Venture Partners, Sequoia Capital, Khosla Ventures, South Park Commons, Kleiner Perkins","Kleiner Perkins, Lightspeed Venture Partners, Saga Ventures, Sequoia Capital"
"Grow Therapy","Mar 3, 2026","$328,000,000","Not Started","Health Care, Medical, Mental Health, mHealth, Therapeutics","New York, New York, United States","Grow Therapy offers online therapy services that connects individuals with licensed therapists to support mental health.","102","https://growtherapy.com/","$50M to $100M","Menlo Ventures, Sequoia Capital, TCV, Transformation Capital, SignalFire","Goldman Sachs Growth Equity, Sequoia Capital, SignalFire, TCV, Transformation Capital, Village Global"
"Radiant","Feb 17, 2026","$518,819,987","Not Started","Clean Energy, Energy, Energy Efficiency, Renewable Energy","El Segundo, California, United States","Radiant develops portable nuclear microreactors designed to generate electricity and heat in a compact, factory-built form.","103","https://radiantnuclear.com/","$10M to $50M","Andreessen Horowitz, Alumni Ventures, Draper Associates, Union Square Ventures, Founders Fund","Andreessen Horowitz, Boost VC, DCVC, Draper Associates, Lockheed Martin Ventures, Union Square Ventures"
"Databricks","Feb 9, 2026","$27,246,939,324","Not Started","Analytics, Artificial Intelligence (AI), Data Integration, Data Management, Data Storage, Information Technology, Machine Learning","San Francisco, California, United States","Databricks is a data and AI platform that unifies data engineering, analytics, and machine learning on a lakehouse architecture.","112","https://www.databricks.com/","$1B to $10B","Andreessen Horowitz, Franklin Templeton, NVIDIA, Blue Owl, Lightspeed Venture Partners","Andreessen Horowitz, Counterpoint Global, DST Global, Fidelity, Franklin Templeton, GIC, Insight Partners, IQT, J.P. Morgan Asset Management, JP Morgan Chase, MGX, New Enterprise Associates, NVIDIA, Thrive Capital, T. Rowe Price, WCM Investment Management"
"Clearwater Analytics","Feb 13, 2026","$5,467,310,139","Not Started","Accounting, Analytics, Data Integration, InsurTech","Boise, Idaho, United States","Clearwater Analytics is a SaaS company, providing automated investment accounting, performance, and analytics for institutional investors.","118","https://clearwateranalytics.com/","$100M to $500M","Temasek Holdings, Apollo, Warburg Pincus, Ares Management, Permira","Dragoneer Investment Group, Durable Capital Partners, Goldman Sachs Alternatives, Permira, Warburg Pincus"
"Applied Digital","Mar 4, 2026","$7,198,831,579","Not Started","Blockchain, Cryptocurrency, Finance","Dallas, Texas, United States","Applied Digital designs, develops and operates next-generation datacenters across North America to provide digital infrastructure solutions.","119","https://ir.applieddigital.com/","$100M to $500M","NVIDIA, Macquarie Asset Management, Macquarie Group, Related, Sumitomo Mitsui Banking","Bank of North Dakota, Cornerstone Bank, Macquarie Asset Management, Macquarie Group, NVIDIA, QBN Capital, Related, Sumitomo Mitsui Banking"
